hostname,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,time
scn-GE72-2QD,1.96,2.33,2.22,2.28,2.01,1.77,1.74,1.68,04/27/2017 19:35:01
scn-GE72-2QD,1.96,2.33,2.22,2.28,2.01,1.77,1.74,1.67,04/27/2017 19:35:06
scn-GE72-2QD,1.96,2.33,2.22,2.28,2.01,1.77,1.74,1.67,04/27/2017 19:35:11
scn-GE72-2QD,1.96,2.33,2.22,2.28,2.01,1.77,1.74,1.67,04/27/2017 19:35:16
scn-GE72-2QD,1.96,2.32,2.22,2.28,2.01,1.77,1.74,1.67,04/27/2017 19:35:21
scn-GE72-2QD,1.95,2.32,2.22,2.28,2.01,1.77,1.73,1.67,04/27/2017 19:35:26
scn-GE72-2QD,1.96,2.33,2.22,2.28,2,1.77,1.73,1.67,04/27/2017 19:35:31
scn-GE72-2QD,1.95,2.32,2.22,2.28,2,1.77,1.73,1.67,04/27/2017 19:35:36
scn-GE72-2QD,1.95,2.32,2.22,2.28,2,1.77,1.73,1.67,04/27/2017 19:35:41
scn-GE72-2QD,1.95,2.32,2.22,2.28,2,1.77,1.73,1.67,04/27/2017 19:35:46
scn-GE72-2QD,1.95,2.32,2.22,2.28,2,1.77,1.73,1.67,04/27/2017 19:35:51
scn-GE72-2QD,1.95,2.32,2.22,2.28,2,1.76,1.73,1.67,04/27/2017 19:35:56
scn-GE72-2QD,1.95,2.32,2.22,2.28,2,1.76,1.73,1.67,04/27/2017 19:36:01
scn-GE72-2QD,1.95,2.32,2.21,2.28,2,1.76,1.73,1.67,04/27/2017 19:36:06
scn-GE72-2QD,1.95,2.32,2.21,2.28,1.99,1.76,1.73,1.67,04/27/2017 19:36:11
scn-GE72-2QD,1.95,2.32,2.21,2.28,1.99,1.76,1.72,1.67,04/27/2017 19:36:16
scn-GE72-2QD,1.95,2.32,2.21,2.27,1.99,1.76,1.72,1.67,04/27/2017 19:36:21
scn-GE72-2QD,1.95,2.32,2.22,2.27,1.99,1.76,1.72,1.67,04/27/2017 19:36:26
scn-GE72-2QD,1.95,2.32,2.22,2.27,1.99,1.76,1.72,1.67,04/27/2017 19:36:31
scn-GE72-2QD,1.95,2.31,2.22,2.27,1.99,1.75,1.72,1.67,04/27/2017 19:36:36
scn-GE72-2QD,1.95,2.31,2.22,2.27,1.99,1.75,1.72,1.67,04/27/2017 19:36:41
scn-GE72-2QD,1.95,2.31,2.21,2.27,1.99,1.75,1.72,1.68,04/27/2017 19:36:46
scn-GE72-2QD,1.95,2.31,2.21,2.27,1.98,1.75,1.72,1.67,04/27/2017 19:36:51
scn-GE72-2QD,1.95,2.31,2.21,2.27,1.98,1.75,1.72,1.68,04/27/2017 19:36:56
scn-GE72-2QD,1.95,2.31,2.21,2.27,1.98,1.75,1.72,1.68,04/27/2017 19:37:01
scn-GE72-2QD,1.95,2.31,2.21,2.27,1.98,1.75,1.72,1.68,04/27/2017 19:37:06
scn-GE72-2QD,1.95,2.31,2.21,2.27,1.98,1.75,1.72,1.68,04/27/2017 19:37:11
scn-GE72-2QD,1.95,2.31,2.21,2.26,1.98,1.75,1.71,1.68,04/27/2017 19:37:16
scn-GE72-2QD,1.95,2.3,2.21,2.26,1.98,1.75,1.71,1.68,04/27/2017 19:37:21
scn-GE72-2QD,1.95,2.3,2.21,2.26,1.98,1.75,1.71,1.68,04/27/2017 19:37:26
scn-GE72-2QD,1.95,2.3,2.2,2.26,1.98,1.74,1.71,1.67,04/27/2017 19:37:31
scn-GE72-2QD,1.98,2.32,2.21,2.28,2.06,1.77,1.76,1.8,04/27/2017 19:38:30
scn-GE72-2QD,1.98,2.31,2.21,2.28,2.06,1.77,1.76,1.8,04/27/2017 19:38:35
